コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","10003845","HIROBO  0412-298  FZ-V シーソー","ヘリコプター\エンジンヘリパーツ\HIROBO SDX パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000318/",""
"","10003846","クレオス　Ｍｒ．カラー　０９０　シャインシルバー","塗料・工具\塗料\クレオス\Ｍｒ．カラー","90","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003847","クレオス　Ｍｒ．カラー　０９２　セミグロスブラック","塗料・工具\塗料\クレオス\Ｍｒ．カラー","92","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003848","クレオス　Ｍｒ．カラー　０９７　灰色９号","塗料・工具\塗料\クレオス\Ｍｒ．カラー","97","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003849","HIROBO  0412-299  FZ-V スタビライザーコントロールアーム","ヘリコプター\エンジンヘリパーツ\HIROBO SDX パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000318/",""
"","10003850","HIROBO  0412-300  FZ-V スタビライザーバーストッパー","ヘリコプター\エンジンヘリパーツ\HIROBO SDX パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000318/",""
"","10003851","HIROBO  0412-301  FZ-V ミキシングアーム","ヘリコプター\エンジンヘリパーツ\HIROBO SDX パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000318/",""
"","10003852","クレオス　Ｍｒ．カラー　１００　マルーン","塗料・工具\塗料\クレオス\Ｍｒ．カラー","100","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003853","HIROBO  0412-320  FZ-V ローターヘッドASSY","ヘリコプター\エンジンヘリパーツ\HIROBO SDX パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000318/",""
"","10003854","クレオス　Ｍｒ．カラー　１０１　スモークグレ－","塗料・工具\塗料\クレオス\Ｍｒ．カラー","101","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003855","HIROBO  0414-460  SSZ-4 フェザリングスピンドル","ヘリコプター\エンジンヘリパーツ\HIROBO SDX パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000318/",""
